mtry	node_size	sample_size	OOB_RMSE
6	3	0.7	0.000984697483037435
14	9	0.8	0.000984736565773227
15	5	0.7	0.000984745032914697
15	3	0.632	0.000985047171017099
5	3	0.8	0.000985173366793467
12	6	0.7	0.00098519963777606
6	5	0.8	0.000985223309136856
6	6	0.8	0.000985305498492899
5	3	0.632	0.000985387439612538
10	5	0.7	0.000985425364379029
7	5	0.7	0.000985585865875585
6	4	0.7	0.00098575952980089
5	3	0.7	0.00098580418450202
10	9	0.8	0.000985839545721956
11	9	0.8	0.000985884702638781
13	6	0.7	0.000986209053861693
12	5	0.7	0.000986424876592593
8	6	0.7	0.000986572938469162
14	5	0.7	0.000986612304705844
9	6	0.7	0.000987614110874457
13	4	0.7	0.000987640623766306
13	5	0.7	0.00098781240852522
10	8	0.8	0.000988444374001976
9	8	0.8	0.000988446461504801
15	4	0.7	0.000988487727081533
7	3	0.7	0.00098857570348491
11	8	0.8	0.000988620639365099
11	3	0.632	0.000988740620637167
15	8	0.8	0.000988892269643129
8	4	0.7	0.000989074506604339
7	4	0.7	0.000989116351364907
14	8	0.8	0.000989206388463449
11	4	0.7	0.000989286116229456
8	7	0.8	0.000989374556426289
9	5	0.7	0.000989918474868771
13	8	0.8	0.000990172004093305
12	8	0.8	0.000990208116815043
10	7	0.8	0.000990956979358349
8	3	0.7	0.000990981748747925
9	7	0.8	0.000991046785636803
6	3	0.8	0.000991048606976238
11	3	0.7	0.000991205634011606
7	7	0.8	0.000991461408823881
9	4	0.7	0.000992024252870064
13	3	0.7	0.000992270268302136
14	4	0.7	0.000992784752379354
10	4	0.7	0.00099327553970848
12	4	0.7	0.000993277262864162
13	7	0.8	0.000993534276318414
15	7	0.8	0.000994019309789095
15	3	0.7	0.000994207210811293
14	7	0.8	0.00099441903688709
7	6	0.8	0.000994671565971069
14	3	0.7	0.000994691674801991
8	6	0.8	0.000994863345542431
12	7	0.8	0.000995002848527933
11	7	0.8	0.00099523020036331
15	6	0.8	0.000996155199620152
11	6	0.8	0.000997129395074183
9	6	0.8	0.000997188236237937
13	6	0.8	0.000997386141275409
8	5	0.8	0.00099756890087707
10	6	0.8	0.000997811370799828
12	3	0.7	0.000998321666887959
10	3	0.7	0.000999647329859575
8	4	0.8	0.0009997632762985
13	5	0.8	0.000999901604505566
14	6	0.8	0.00100059651395623
12	6	0.8	0.00100095210336828
9	3	0.7	0.00100109597769433
15	5	0.8	0.00100141962428059
14	5	0.8	0.00100219875177239
11	5	0.8	0.00100291132807141
7	5	0.8	0.0010031300261395
12	5	0.8	0.00100346924099482
15	4	0.8	0.00100457789782668
9	3	0.8	0.00100462200191333
7	4	0.8	0.00100529471442052
8	3	0.8	0.00100554832247194
11	4	0.8	0.0010057336198881
7	3	0.8	0.00100581986333569
9	4	0.8	0.00100582335380531
10	5	0.8	0.00100625179050765
12	4	0.8	0.00100643887828963
9	5	0.8	0.00100678917829621
13	4	0.8	0.00100701306229003
10	3	0.8	0.00100857083559329
11	3	0.8	0.00100923215744911
14	4	0.8	0.00100929533916423
13	3	0.8	0.00101002512668408
15	3	0.8	0.00101065048198049
10	4	0.8	0.00101101823976663
12	3	0.8	0.00101106567467537
14	3	0.8	0.00101340621730386
